Catégorie,Mes.,Annotations de mesures,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
du-,49-51,"Tempo et dynamiques contraires à l'écriture, Chromatisme ascendant, complémentarité rythmique",,,,,,,,,,,,,,,
int-,49-51,"Hr., Trp. & Pos. Avec sourdine : Accords Si b Maj., Fa # Maj., Do Maj., 1er renversement, descente de 2de min.",,,,,,,,,,,,,,,
graph- mo-,49-51,"Fg. & Vlc. : Élément thématique e dans le désordre, complémentarité rythmique avec les cuivres",,"Cordes : Élément thématique d (rétrograde du motif de la frayeur, harmonisé en 2des Maj.",,,,,,,,,,,,,
mo-,52,1ère expo. : 1er sujet : thème a (Marie) en Sol,,,,,,,,,,,,,,,
mo-,53-54,Vla. solo : Réponse en Mi b (3ce Maj. plus bas),,,,,,,,,,,,,,,
int-,53-54,"M. : Déroulement autonome, Sol - Si b (und weinte, 3ce min), Mi b - Do # - Si - La - Sol - Fa - Mi b (und kußte seine Fuße?, gamme par ton)",,,,,,,,,,,,,,,
mo-,54,Vl. 1 solo : 1er sujet ,,,,,,,,,,,,,,,
mo-,54-55,"M. : Mi - Mib - Do (netze sie, Motif Klage laut), La b - Sol - Fa # (Tränen, chrom.)",,,,,,,,,,,,,,,
graph- mo-,54-55,Vl. 2 solo : doublure de M.,,,,,,,,,,,,,,,
mo-,54-55,Kb. : Réponse Sujet Si b (3ce min. plus haut),,,,,,,,,,,,,,,
mo-,56,"M. : Citation de III/1, m. 8 (Fa - Do - Fa # - Si b, Sie mich ich an)",,,,,,,,,,,,,,,
int-,56,Vlc. : Réponse en Ré (5te plus haut),,,,,,,,,,,,,,,
graph- int-,57,Cordes : Accord de gamme par tons,,,,,,,,,,,,,,,
mo-,57,"2e expo. : 5 entrées. 2e sujet : vient des éléments thématiques f et b, citation m. ???",Numéro de mesure de la citation nécessaire,,,,,,,,,,,,,,
mo-,59-60,Kl. : imitation 2e sujet,,,,,,,,,,,,,,,
graph- mo-,59-60,"M. : Do - Si (Heiland!), sommet, arrêt sur la note de la mort",,,,,,,,,,,,,,,
for-,62-63,3 expo. : strette avec les deux sujets,,,,,,,,,,,,,,,
mo-,62-63,Vl. & Vla. : 2e sujet,,,,,,,,,,,,,,,
graph- mo-,63-64,Vlc. & Kb. : 1er sujet,,,,,,,,,,,,,,,
graph- mo-,64-65,"Kl., Trp. & Pos. 1 - 2 : 1er sujet",,,,,,,,,,,,,,,
graph- mo-,64-65,Hr.. & Pos. 3 - 4 : 2e sujet augmenté rythmiquement,,,,,,,,,,,,,,,
graph- mo-,64-65,"Bkl., Fg., Hfe, Vlc. & Kb. : 1er sujet inversé et diminué",,,,,,,,,,,,,,,
mo-,65-67,"Fl., Ob. & Kl. : 2e sujet",,,,,,,,,,,,,,,
graph- mo-,65-67,"Bkl., Fg., Kfg., Hr., Pos., Btb., Vla., Vlc. & Kb. : 1er sujet",,,,,,,,,,,,,,,
graph- tim- mo-,68-70,Silences,,Absence de réponse face à la supplication,,,,,,,,,,,,,
mo-,68,"Ob., Kl., Vl., Vla. solo & Vlc. Solo : Motif frayeur / élément thématique d",,,,,,,,,,,,,,,
mo-,68,Hr. 3-4 & Pos. 3-4 : Motif frayeur inversé,,,,,,,,,,,,,,,
mo-,69,"Ob., Kl. & Trp. : Élément thématique b",,,,,,,,,,,,,,,
graph- mo-,69,"Hr. & Vlc. : début élément thématique a Hauptstimme, nostalgique",,,,,,,,,,,,,,,
mo-,70,"Trp. 1 : 2e entrée, Citation m. 4 - 6 Vl. Solo",,Vlc. : 3e entrée (Citation m. 5 - 6),,,,,,,,,,,,,
graph- int-,70,"Trp. : Accord Mi b Maj., Cordes : Accord Ré Maj.",,,,,,,,,,,,,,,
int-,71-72,Kb. : Pédale Si sous l'orchestre,,,,,,,,,,,,,,,
graph- int-,71-72,Cel. & cordes : Arpège Ré Maj.,,,,,,,,,,,,,,,
graph- int-,71-72,Picc. & Fl. : Arpège Mi b Maj.,,,,,,,,,,,,,,,
