Code,Mes.,Annotations de mesures,Remarques / observations,Analyse personnelle / TP de séminaire,,,,,,,,,,,,,
mo-,,Élision du Hauptrythmus et de la 3ce min. de Wozzeck,,Le couteau devient une personnification de la culpabilité de Wozzeck,,,,,,,,,,,,,
int-,254,Hr. & Trp. : Accord de la scène,,,,,,,,,,,,,,,
int-,,Wozzeck : Déploiement mélodique de l'accord,,,,,,,,,,,,,,,
int-,,Vla. : Mi - Fa,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,255,Cordes : Accord de la scène,,,,,,,,,,,,,,,
int-,,"Picc., Fl., Ob., Kl., Hr. & Trp. : Accord de la scène",,,,,,,,,,,,,,,
int-,,Cel. & Hfe. : Accord de la scène (accord de 4tes),,,,,,,,,,,,,,,
int-,255-256,Hfe. : Gamme de Ré b maj.,,,,,,,,,,,,,,,
mo-,,"Fl. : Arpège de Fa min. (récit de l'enfant approfondi, Marie AIIISc.1)","Est-ce bien marqué « approfondi » ? De plus, le numéro de mesure serait pertinent",,,,,,,,,,,,,,
int-,,Kl. : Gamme de Si b phrygien,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
du-,257,wie zu Anfang dieser Szene = Comme au début de la scène,,,,,,,,,,,,,,,
int-,257-258,"Cordes : Accord serré, comme au début de la scène (aux cords plutôt qu'aux bois)",,,,,,,,,,,,,,,
du-,,Ritenuto + Rallentendo écrit,,,,,,,,,,,,,,,
mo-,259,Hfe. : Accord de la scène (nicht arpegg. = non arpégié) au moment où Wozzeck lance le couteau,,,,,,,,,,,,,,,
int-,,Cuivres : Accord de la scène,,,,,,,,,,,,,,,
int-,,Bois : Accord de la scène,,,,,,,,,,,,,,,
du-,,Complémentarité rythmique entre cuivres et bois,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,259-261,Wozzeck : Déploiement mélodique de l'accord précédé par une broderie sur Sol,,,,,,,,,,,,,,,
dy-,262-266,"Beck. frethängend & kl. Tam-Tam : Fond sourd, pianissimo",,,,,,,,,,,,,,,
dy-,,Hfe. : Hauptstimme,,,,,,,,,,,,,,,
mo-,,"Hfe. : Accord arpégié, figuralisme de la lune qui monte",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,265-266,"Wozzeck : Notes autres à l'accord (Sol = appogiature le La b, Do & Si = notes de passage entre Ré b et Si b)",,"Sol et Si, diminution de l'accord fondamental de Wozzeck?",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,267-268,"Vl. 1 : 1ère transposition de l'accord (3ce min. vers le haut, Do # - Mi - Fa # - Sol - Sol # - Si)",,,,,,,,,,,,,,,
int-,268-269,Vla. : 2e transposition de l'accord (Fa # - La - Si - Do - Do # - Mi),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mo-,270,"Wozzeck : Citation m. 222 (transposé au demi-ton plus haut, Si - Ré - Si (3ce min.))",,,,,,,,,,,,,,,
mo-,270-274,"Orchestre : George Pearle 18, Motif du Couteau (Harmonisation du motif de la frayeur), chromatisme et resserrement (éventail se refermant). Figure le chromatisme ascendant de la 3e partie (arrivée du Doktor et du Capitaine)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mo-,274,"Wozzeck : Citation m. 222 & 270 (transposé une 4te plus haut, Mi b - Sol b - Mi b (3ce min.))",,,,,,,,,,,,,,,
int-,275,"Pk. & Vl. 1 : 3e transposition de l'accord (Mi - Sol - La - Si b - Si - Ré, avec 4 notes de l'accord fondamental (Sol - La - Si - Ré ))",,,,,,,,,,,,,,,
int-,,Pk. : 2de maj.,,,,,,,,,,,,,,,
int-,,"Vl. : 5te dim, 5te aug. 5te j.",,,,,,,,,,,,,,,
,,"Apprenne de violons qui s'accordaient (sauf Si b), réiniscence du bal?",À l'aide,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,276-277,Pk. & Xyl. : Fondu acclamé / métamorphose,Fondu acclamé? C'est tu le bon mot?,,,,,,,,,,,,,,
mo-,,Vl. 1 & Vl. 2 : Réminiscence AISc1 m. 551 (cercles de champignons),Ce ne serait pas A1Sc4 m. 561?,,,,,,,,,,,,,,
int-,276-278,"Bois : Accord sous différentes transpositions (3ce min. vers le haut, 4te vers le haut, 2de maj. vers le haut, ?, ?, triton, 3ce min. vers le haut, 3ce min. vers le bas)",,,,,,,,,,,,,,,
int-,277,Wozzeck : Déploiement mélodique de la 4e transposition de l'accord (3ce min vers le haut),,,,,,,,,,,,,,,
mo-,,Wozzeck : motif de la frayeur (« Noch einer »),,,,,,,,,,,,,,,
mo-,278,Vla. Vlc. & Kb. : Continuation de la réminiscence AISc1 m. 551 (cercles de champignons),Ce ne serait pas A1Sc4 m. 561?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,278-279,Kl. : Relais effrené de la 4e tranposition de Wozzeck (instabilité mentale?),,,,,,,,,,,,,,,
int-,,"Hr., Pos. & Btb. : Transposition de l'accord 3ce min. plus bas",,Hfe. double le Hr.,,,,,,,,,,,,,
int-,,Hr. : Alternance de triades,,Hfe. double le Hr.,,,,,,,,,,,,,
int-,,Vl. 1 : 5e transposition de l'accord (Ré - Fa - Sol - La b - La - Do),,,,,,,,,,,,,,,
int-,,Vla : 6e transposition de l'accord (La - Do - Ré - Mi b - Mi - Sol (b)),,,,,,,,,,,,,,,
dy-,,Vl. 2 : Lien entre Vl. 1 et Vla.,,,,,,,,,,,,,,,
int-,278-281,Wozzeck : Ré # - Mi - Fa (2des min.),,,,,,,,,,,,,,,
,278-283,,,Cordes : lien de quintes entre les déploiements mélodiques de l'accord (La - Ré - Sol - Do),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,280,"Kb. : Mi b - Do (3ce min, appui couteau)",Appui? Amlu? AnlW?,,,,,,,,,,,,,,
int-,280-281,Vla. & Vlc. : 5e et 6e transposition en mouvements parallèles,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,281-282,Wozzeck : Déploiement mélodique de l'accord transposé sur Fa,Ce ne serait pas l'accord original?,,,,,,,,,,,,,,
int-,282,Wozzeck : Ré b - Si b (3ce min.),,,,,,,,,,,,,,,
int-,,"Vlc. & Kb. : Transposition de l'accord sur Sol, 5te en relation avec la basse (Pos.) (Do - Sol)",,,,,,,,,,,,,,,
int-,283,Vlc. & Kb. : Arrivée sur Do,,,,,,,,,,,,,,,
int-,,Wozzeck : La - Fa # (3ce min.),,Wozzeck : 2e transposition de l'accord,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,284,Cordes : Immense parallélisme de chromatisme ascendant dans les 12 sons,,,,,,,,,,,,,,,
int-,,Cordes : L'accord de 6 sons se transpose sans cesse,,,,,,,,,,,,,,,
du-,,Cordes : Ralletendo,,,,,,,,,,,,,,,
du-,,Cordes : 12 groupes de 5 quintolets,,,,,,,,,,,,,,,
int-,,"Cordes : Accord 2e temps (Do - Mi b - Sol b - Fa - Sol), Accord dernier temps (Fa (Mi #) - Sol # - Si - Mi b - Si b - Do)",,,,,,,,,,,,,,,
int-,285,Cordes : Accord originel au premier temps,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,287,"Bois : Tuilages, fondu enchaîné (11 groupes de double-croches)",,,,,,,,,,,,,,,
int-,,Bois : Accord (Sol - Si b - Ré b - Do - Fa - Ré),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
mo-,289,Capitaine : Dialogue peureux et absurde,,,,,,,,,,,,,,,
du-,,Cordes : 11 groupes de triolets de croches,,,,,,,,,,,,,,,
tim-,,"Cordes : Avec sourdine, col legno gestr.",,,,,,,,,,,,,,,
,,Voir indications au début de la punition sur le langage parlé « ordinaire »,Est-ce en lien avec un autre annotation à cette page?,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,292,Hr. & Fg. : 3ces de Marie,,Hr. & Fg. : Relais en croches,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
du-,293,Cordes : Relais en triolets de noires,,,,,,,,,,,,,,,
du-,295,Cuivres : Relais en noires,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
tim-,301,Cordes : 2 solistes avec sourdines,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
int-,301-302,Cordes : Appogiature vers accord originel (mouvement de 2de min. vers le haut),,,,,,,,,,,,,,,
dy-,,Cordes solistes : pppp jusqu'à la fin,,"Cordes : Fond sonore, réminiscence de m. 230 (« Alles still und tot »)",,,,,,,,,,,,,
du-,302-306,Kl. : Rythme de l'agonie de Wozzeck (ostinato de la mort),,,,,,,,,,,,,,,
du-,,"Kl. : Interaction entre 2 rythmes (Kl. 1 : rythme a, ??? - Kl. 2 : rythme b, citation AIIISc.2 m. 80 au Vl. 1 solo)",Le lien de la Kl. 1 est hors de la numérisation,,,,,,,,,,,,,,
du-,,Hr. : Rythme a augmenté à la croche,,,,,,,,,,,,,,,
du-,,"Fl. : Variation du rythme b, augmentation à la croche pointée",,,,,,,,,,,,,,,
